experiment,fold,class,precision,recall,f1_score
clear_global_total_kfold,0,0,0.42443729903536975,0.9103448275862069,0.5789473684210525
clear_global_total_kfold,0,1,0.5267857142857143,0.3277777777777778,0.40410958904109584
clear_global_total_kfold,0,2,0.0,0.0,0.0
clear_global_total_kfold,0,3,0.5263157894736842,0.3125,0.39215686274509803
clear_global_total_kfold,0,4,0.38461538461538464,0.35294117647058826,0.3680981595092025
clear_global_total_kfold,0,5,0.0,0.0,0.0
clear_global_total_kfold,0,6,0.5635593220338984,0.7388888888888889,0.639423076923077
clear_global_total_kfold,1,0,0.524390243902439,0.7962962962962963,0.6323529411764706
clear_global_total_kfold,1,1,0.45408163265306123,0.6137931034482759,0.5219941348973608
clear_global_total_kfold,1,2,0.0,0.0,0.0
clear_global_total_kfold,1,3,0.7,0.35,0.4666666666666667
clear_global_total_kfold,1,4,0.9818181818181818,0.5046728971962616,0.6666666666666666
clear_global_total_kfold,1,5,0.5,0.07407407407407407,0.12903225806451613
clear_global_total_kfold,1,6,0.6475409836065574,0.8633879781420765,0.7400468384074941
clear_global_total_kfold,2,0,0.4117647058823529,0.6871165644171779,0.5149425287356323
clear_global_total_kfold,2,1,0.3269230769230769,0.3072289156626506,0.3167701863354037
clear_global_total_kfold,2,2,0.0,0.0,0.0
clear_global_total_kfold,2,3,0.38461538461538464,0.2830188679245283,0.32608695652173914
clear_global_total_kfold,2,4,0.8518518518518519,0.26436781609195403,0.40350877192982454
clear_global_total_kfold,2,5,0.0,0.0,0.0
clear_global_total_kfold,2,6,0.5178571428571429,0.8055555555555556,0.6304347826086957
clear_global_total_kfold,3,0,0.6075268817204301,0.7290322580645161,0.6627565982404693
clear_global_total_kfold,3,1,0.6447368421052632,0.6012269938650306,0.6222222222222222
clear_global_total_kfold,3,2,0.5116279069767442,0.2558139534883721,0.34108527131782945
clear_global_total_kfold,3,3,0.717391304347826,0.4647887323943662,0.5641025641025642
clear_global_total_kfold,3,4,0.7090909090909091,0.8666666666666667,0.7800000000000001
clear_global_total_kfold,3,5,0.5714285714285714,0.14285714285714285,0.2285714285714286
clear_global_total_kfold,3,6,0.6939655172413793,0.8797814207650273,0.7759036144578313
clear_global_total_kfold,4,0,0.0,0.0,0.0
clear_global_total_kfold,4,1,0.23684210526315788,0.4931506849315068,0.32
clear_global_total_kfold,4,2,0.0,0.0,0.0
clear_global_total_kfold,4,3,0.0,0.0,0.0
clear_global_total_kfold,4,4,0.0,0.0,0.0
clear_global_total_kfold,4,5,0.0,0.0,0.0
clear_global_total_kfold,4,6,0.2814498933901919,0.7058823529411765,0.4024390243902439
clear_global_arm_kfold,0,0,0.7086092715231788,0.6524390243902439,0.6793650793650794
clear_global_arm_kfold,0,1,0.5477386934673367,0.7517241379310344,0.6337209302325582
clear_global_arm_kfold,0,2,0.7068965517241379,0.4939759036144578,0.5815602836879433
clear_global_arm_kfold,0,3,0.5813953488372093,0.43103448275862066,0.49504950495049505
clear_global_arm_kfold,0,4,0.7821782178217822,0.8315789473684211,0.8061224489795918
clear_global_arm_kfold,0,5,0.0,0.0,0.0
clear_global_arm_kfold,0,6,0.7668161434977578,0.8592964824120602,0.8104265402843601
clear_global_arm_kfold,1,0,0.8909090909090909,0.9545454545454546,0.9216300940438871
clear_global_arm_kfold,1,1,0.8866666666666667,0.806060606060606,0.8444444444444444
clear_global_arm_kfold,1,2,0.8095238095238095,0.8095238095238095,0.8095238095238095
clear_global_arm_kfold,1,3,0.896551724137931,0.8524590163934426,0.8739495798319327
clear_global_arm_kfold,1,4,0.9247311827956989,0.9052631578947369,0.9148936170212766
clear_global_arm_kfold,1,5,0.8055555555555556,0.7837837837837838,0.7945205479452055
clear_global_arm_kfold,1,6,0.8994082840236687,0.9559748427672956,0.9268292682926831
clear_global_arm_kfold,2,0,0.7516778523489933,0.7368421052631579,0.744186046511628
clear_global_arm_kfold,2,1,0.6503067484662577,0.6666666666666666,0.6583850931677018
clear_global_arm_kfold,2,2,0.5957446808510638,0.6588235294117647,0.6256983240223464
clear_global_arm_kfold,2,3,0.65,0.6724137931034483,0.6610169491525424
clear_global_arm_kfold,2,4,0.8241758241758241,0.8426966292134831,0.8333333333333334
clear_global_arm_kfold,2,5,0.0,0.0,0.0
clear_global_arm_kfold,2,6,0.8577981651376146,0.9396984924623115,0.8968824940047961
clear_global_arm_kfold,3,0,0.7052631578947368,0.8589743589743589,0.7745664739884391
clear_global_arm_kfold,3,1,0.7305389221556886,0.7625,0.7461773700305809
clear_global_arm_kfold,3,2,0.68,0.5604395604395604,0.6144578313253013
clear_global_arm_kfold,3,3,0.7164179104477612,0.7058823529411765,0.7111111111111111
clear_global_arm_kfold,3,4,0.9230769230769231,0.782608695652174,0.8470588235294118
clear_global_arm_kfold,3,5,0.8181818181818182,0.6,0.6923076923076923
clear_global_arm_kfold,3,6,0.9378531073446328,0.9273743016759777,0.9325842696629214
clear_global_arm_kfold,4,0,0.6467661691542289,0.8280254777070064,0.7262569832402234
clear_global_arm_kfold,4,1,0.6948051948051948,0.6257309941520468,0.6584615384615384
clear_global_arm_kfold,4,2,0.7910447761194029,0.5824175824175825,0.6708860759493671
clear_global_arm_kfold,4,3,0.7027027027027027,0.43333333333333335,0.5360824742268041
clear_global_arm_kfold,4,4,0.7083333333333334,0.7157894736842105,0.7120418848167539
clear_global_arm_kfold,4,5,0.6785714285714286,0.76,0.7169811320754718
clear_global_arm_kfold,4,6,0.8031088082901554,0.8757062146892656,0.8378378378378378
clear_global_leg_kfold,0,0,0.2647058823529412,0.06206896551724138,0.10055865921787709
clear_global_leg_kfold,0,1,0.2808219178082192,0.5061728395061729,0.3612334801762115
clear_global_leg_kfold,0,2,0.5,0.011363636363636364,0.022222222222222223
clear_global_leg_kfold,0,3,0.0,0.0,0.0
clear_global_leg_kfold,0,4,0.5789473684210527,0.102803738317757,0.1746031746031746
clear_global_leg_kfold,0,5,0.0,0.0,0.0
clear_global_leg_kfold,0,6,0.2827102803738318,0.6797752808988764,0.3993399339933994
clear_global_leg_kfold,1,0,0.24806201550387597,0.20125786163522014,0.22222222222222224
clear_global_leg_kfold,1,1,0.2975206611570248,0.23529411764705882,0.2627737226277373
clear_global_leg_kfold,1,2,1.0,0.022988505747126436,0.0449438202247191
clear_global_leg_kfold,1,3,0.875,0.11290322580645161,0.19999999999999998
clear_global_leg_kfold,1,4,0.4044943820224719,0.3564356435643564,0.3789473684210526
clear_global_leg_kfold,1,5,0.0,0.0,0.0
clear_global_leg_kfold,1,6,0.2927400468384075,0.6944444444444444,0.41186161449752884
clear_global_leg_kfold,2,0,0.45491803278688525,0.6851851851851852,0.5467980295566502
clear_global_leg_kfold,2,1,0.5038167938931297,0.41509433962264153,0.4551724137931034
clear_global_leg_kfold,2,2,1.0,0.010869565217391304,0.02150537634408602
clear_global_leg_kfold,2,3,0.6129032258064516,0.34545454545454546,0.4418604651162791
clear_global_leg_kfold,2,4,0.47368421052631576,0.5625,0.5142857142857142
clear_global_leg_kfold,2,5,0.0,0.0,0.0
clear_global_leg_kfold,2,6,0.5897435897435898,0.8655913978494624,0.7015250544662309
clear_global_leg_kfold,3,0,0.8037974683544303,0.7696969696969697,0.786377708978328
clear_global_leg_kfold,3,1,0.8294117647058824,0.8545454545454545,0.8417910447761193
clear_global_leg_kfold,3,2,0.8307692307692308,0.675,0.7448275862068966
clear_global_leg_kfold,3,3,0.796875,0.7846153846153846,0.7906976744186046
clear_global_leg_kfold,3,4,0.9230769230769231,0.9333333333333333,0.9281767955801106
clear_global_leg_kfold,3,5,0.7777777777777778,0.7777777777777778,0.7777777777777778
clear_global_leg_kfold,3,6,0.8645833333333334,0.9485714285714286,0.904632152588556
clear_global_leg_kfold,4,0,0.7346938775510204,0.7105263157894737,0.7224080267558528
clear_global_leg_kfold,4,1,0.8529411764705882,0.7204968944099379,0.781144781144781
clear_global_leg_kfold,4,2,0.7053571428571429,0.7314814814814815,0.7181818181818183
clear_global_leg_kfold,4,3,0.7017543859649122,0.7547169811320755,0.7272727272727273
clear_global_leg_kfold,4,4,0.7959183673469388,0.8863636363636364,0.8387096774193548
clear_global_leg_kfold,4,5,0.56,0.7,0.6222222222222222
clear_global_leg_kfold,4,6,0.8308457711442786,0.8608247422680413,0.8455696202531645
drive_global_total_kfold,0,0,0.7164556962025317,0.907051282051282,0.8005657708628005
drive_global_total_kfold,0,1,0.6,0.36585365853658536,0.4545454545454546
drive_global_total_kfold,0,2,0.7407407407407407,0.42105263157894735,0.5369127516778524
drive_global_total_kfold,0,3,0.810126582278481,0.8311688311688312,0.8205128205128205
drive_global_total_kfold,0,4,0.7666666666666667,0.8214285714285714,0.793103448275862
drive_global_total_kfold,0,5,0.7777777777777778,0.6774193548387096,0.7241379310344828
drive_global_total_kfold,0,6,0.8897058823529411,0.7378048780487805,0.8066666666666666
drive_global_total_kfold,1,0,0.5071090047393365,0.7670250896057348,0.6105563480741797
drive_global_total_kfold,1,1,0.0,0.0,0.0
drive_global_total_kfold,1,2,0.6923076923076923,0.19148936170212766,0.30000000000000004
drive_global_total_kfold,1,3,0.4605263157894737,0.35714285714285715,0.40229885057471265
drive_global_total_kfold,1,4,0.5789473684210527,0.3793103448275862,0.45833333333333337
drive_global_total_kfold,1,5,0.38461538461538464,0.21739130434782608,0.27777777777777773
drive_global_total_kfold,1,6,0.42786069651741293,0.44559585492227977,0.4365482233502538
drive_global_total_kfold,2,0,0.7454545454545455,0.7854406130268199,0.7649253731343284
