experiment,fold,class,precision,recall,f1_score
clear_global_total_kfold,0,0,0.9354838709677419,0.847953216374269,0.8895705521472392
clear_global_total_kfold,0,1,0.7989949748743719,0.9464285714285714,0.8664850136239781
clear_global_total_kfold,0,2,0.734375,0.573170731707317,0.6438356164383561
clear_global_total_kfold,0,3,0.8431372549019608,0.7962962962962963,0.8190476190476189
clear_global_total_kfold,0,4,0.8860759493670886,0.875,0.8805031446540881
clear_global_total_kfold,0,5,1.0,0.7333333333333333,0.846153846153846
clear_global_total_kfold,0,6,0.8975609756097561,0.968421052631579,0.9316455696202531
clear_global_total_kfold,1,0,0.7727272727272727,0.8439716312056738,0.8067796610169492
clear_global_total_kfold,1,1,0.7894736842105263,0.9493670886075949,0.8620689655172414
clear_global_total_kfold,1,2,0.7076923076923077,0.46938775510204084,0.5644171779141105
clear_global_total_kfold,1,3,0.9069767441860465,0.6610169491525424,0.7647058823529412
clear_global_total_kfold,1,4,0.8189655172413793,0.95,0.8796296296296298
clear_global_total_kfold,1,5,1.0,0.2564102564102564,0.4081632653061224
clear_global_total_kfold,1,6,0.8484848484848485,0.9281767955801105,0.8865435356200527
clear_global_total_kfold,2,0,0.7309644670050761,0.9056603773584906,0.8089887640449438
clear_global_total_kfold,2,1,0.8011695906432749,0.845679012345679,0.8228228228228228
clear_global_total_kfold,2,2,0.6333333333333333,0.19387755102040816,0.296875
clear_global_total_kfold,2,3,0.49193548387096775,0.9104477611940298,0.6387434554973822
clear_global_total_kfold,2,4,0.9404761904761905,0.8681318681318682,0.9028571428571429
clear_global_total_kfold,2,5,0.7,0.2413793103448276,0.358974358974359
clear_global_total_kfold,2,6,0.9433962264150944,0.8875739644970414,0.9146341463414636
clear_global_total_kfold,3,0,0.8047337278106509,0.8292682926829268,0.8168168168168168
clear_global_total_kfold,3,1,0.7837837837837838,0.8430232558139535,0.8123249299719888
clear_global_total_kfold,3,2,0.68,0.4146341463414634,0.5151515151515151
clear_global_total_kfold,3,3,0.4925373134328358,0.6111111111111112,0.5454545454545455
clear_global_total_kfold,3,4,0.7631578947368421,0.9456521739130435,0.8446601941747574
clear_global_total_kfold,3,5,0.5714285714285714,0.13333333333333333,0.21621621621621623
clear_global_total_kfold,3,6,0.9130434782608695,0.9230769230769231,0.9180327868852459
clear_global_total_kfold,4,0,0.7987012987012987,0.831081081081081,0.8145695364238409
clear_global_total_kfold,4,1,0.8071428571428572,0.8071428571428572,0.8071428571428572
clear_global_total_kfold,4,2,0.4603174603174603,0.30526315789473685,0.3670886075949367
clear_global_total_kfold,4,3,0.5714285714285714,0.39436619718309857,0.4666666666666667
clear_global_total_kfold,4,4,0.9,0.4368932038834951,0.5882352941176471
clear_global_total_kfold,4,5,0.0,0.0,0.0
clear_global_total_kfold,4,6,0.59375,0.9947643979057592,0.7436399217221136
