experiment,fold,class,precision,recall,f1_score
Clear_Total,0,0,0.9054054054054054,0.8758169934640523,0.8903654485049834
Clear_Total,0,1,0.8588957055214724,0.8695652173913043,0.8641975308641976
Clear_Total,0,2,0.8282828282828283,0.8631578947368421,0.8453608247422681
Clear_Total,0,3,0.835820895522388,0.9032258064516129,0.8682170542635659
Clear_Total,0,4,0.8725490196078431,0.9081632653061225,0.89
Clear_Total,0,5,0.7647058823529411,0.9285714285714286,0.8387096774193549
Clear_Total,0,6,0.9691358024691358,0.8820224719101124,0.9235294117647059
Clear_Total,1,0,0.7639751552795031,0.7884615384615384,0.7760252365930599
Clear_Total,1,1,0.8407643312101911,0.825,0.8328075709779179
Clear_Total,1,2,0.7926829268292683,0.7738095238095238,0.783132530120482
Clear_Total,1,3,0.8392857142857143,0.8245614035087719,0.8318584070796461
Clear_Total,1,4,0.813953488372093,0.8433734939759037,0.8284023668639053
Clear_Total,1,5,0.8947368421052632,0.53125,0.6666666666666666
Clear_Total,1,6,0.8325581395348837,0.8774509803921569,0.854415274463007
Clear_Total,2,0,0.8811188811188811,0.8456375838926175,0.863013698630137
Clear_Total,2,1,0.7941176470588235,0.8544303797468354,0.823170731707317
Clear_Total,2,2,0.8390804597701149,0.7373737373737373,0.7849462365591398
Clear_Total,2,3,0.9166666666666666,0.8918918918918919,0.9041095890410958
Clear_Total,2,4,0.8913043478260869,0.8913043478260869,0.8913043478260869
Clear_Total,2,5,0.9,0.8709677419354839,0.8852459016393444
Clear_Total,2,6,0.8674033149171271,0.9127906976744186,0.8895184135977336
Clear_Total,3,0,0.8661971830985915,0.7987012987012987,0.8310810810810811
Clear_Total,3,1,0.8344370860927153,0.8513513513513513,0.842809364548495
Clear_Total,3,2,0.7835051546391752,0.8351648351648352,0.8085106382978723
Clear_Total,3,3,0.9482758620689655,0.9322033898305084,0.94017094017094
Clear_Total,3,4,0.9,0.8571428571428571,0.8780487804878048
Clear_Total,3,5,0.875,0.8484848484848485,0.8615384615384615
Clear_Total,3,6,0.8826530612244898,0.9301075268817204,0.9057591623036648
Clear_Total,4,0,0.8108108108108109,0.8771929824561403,0.8426966292134831
Clear_Total,4,1,0.9150326797385621,0.8092485549132948,0.8588957055214724
Clear_Total,4,2,0.7912087912087912,0.8372093023255814,0.8135593220338984
Clear_Total,4,3,0.8958333333333334,0.8113207547169812,0.8514851485148515
Clear_Total,4,4,0.9418604651162791,0.9204545454545454,0.9310344827586208
Clear_Total,4,5,0.9629629629629629,0.8125,0.8813559322033898
Clear_Total,4,6,0.9032258064516129,0.9710982658959537,0.9359331476323118
clear_global_arm_kfold,0,0,0.9032258064516129,0.8484848484848485,0.875
clear_global_arm_kfold,0,1,0.8176100628930818,0.896551724137931,0.8552631578947368
clear_global_arm_kfold,0,2,0.8148148148148148,0.8048780487804879,0.8098159509202455
clear_global_arm_kfold,0,3,0.8709677419354839,0.8571428571428571,0.864
clear_global_arm_kfold,0,4,0.9108910891089109,0.9019607843137255,0.9064039408866996
clear_global_arm_kfold,0,5,1.0,0.9090909090909091,0.9523809523809523
clear_global_arm_kfold,0,6,0.9251336898395722,0.9351351351351351,0.9301075268817205
clear_global_arm_kfold,1,0,0.8650306748466258,0.8703703703703703,0.8676923076923078
clear_global_arm_kfold,1,1,0.8503401360544217,0.8333333333333334,0.8417508417508417
clear_global_arm_kfold,1,2,0.8865979381443299,0.8269230769230769,0.8557213930348259
clear_global_arm_kfold,1,3,0.9285714285714286,0.8813559322033898,0.9043478260869564
clear_global_arm_kfold,1,4,0.8383838383838383,0.9222222222222223,0.8783068783068783
clear_global_arm_kfold,1,5,0.9714285714285714,0.9444444444444444,0.9577464788732395
clear_global_arm_kfold,1,6,0.888268156424581,0.9085714285714286,0.8983050847457626
clear_global_arm_kfold,2,0,0.8333333333333334,0.8974358974358975,0.8641975308641975
clear_global_arm_kfold,2,1,0.864516129032258,0.8427672955974843,0.8535031847133758
clear_global_arm_kfold,2,2,0.8865979381443299,0.8775510204081632,0.882051282051282
clear_global_arm_kfold,2,3,0.9666666666666667,0.8405797101449275,0.8992248062015503
clear_global_arm_kfold,2,4,0.8924731182795699,0.9120879120879121,0.9021739130434783
clear_global_arm_kfold,2,5,1.0,0.8,0.888888888888889
clear_global_arm_kfold,2,6,0.9022988505747126,0.9401197604790419,0.9208211143695014
clear_global_arm_kfold,3,0,0.9027777777777778,0.9027777777777778,0.9027777777777778
clear_global_arm_kfold,3,1,0.9127906976744186,0.8770949720670391,0.8945868945868944
clear_global_arm_kfold,3,2,0.8089887640449438,0.8470588235294118,0.8275862068965517
clear_global_arm_kfold,3,3,0.8867924528301887,0.8392857142857143,0.8623853211009174
clear_global_arm_kfold,3,4,0.8709677419354839,0.9101123595505618,0.8901098901098902
clear_global_arm_kfold,3,5,0.9629629629629629,0.8387096774193549,0.896551724137931
clear_global_arm_kfold,3,6,0.9040404040404041,0.9322916666666666,0.9179487179487179
clear_global_arm_kfold,4,0,0.8503401360544217,0.8012820512820513,0.8250825082508251
clear_global_arm_kfold,4,1,0.8012422360248447,0.7724550898203593,0.7865853658536586
clear_global_arm_kfold,4,2,0.8024691358024691,0.7558139534883721,0.7784431137724551
clear_global_arm_kfold,4,3,0.8727272727272727,0.8275862068965517,0.8495575221238938
clear_global_arm_kfold,4,4,0.7924528301886793,0.8936170212765957,0.8400000000000001
clear_global_arm_kfold,4,5,0.7692307692307693,0.9523809523809523,0.8510638297872339
clear_global_arm_kfold,4,6,0.885,0.9123711340206185,0.8984771573604061
clear_global_leg_kfold,0,0,0.7888198757763976,0.7426900584795322,0.7650602409638555
clear_global_leg_kfold,0,1,0.7631578947368421,0.7682119205298014,0.7656765676567657
clear_global_leg_kfold,0,2,0.7058823529411765,0.5853658536585366,0.64
clear_global_leg_kfold,0,3,0.7848101265822784,0.8857142857142857,0.8322147651006712
clear_global_leg_kfold,0,4,0.8695652173913043,0.851063829787234,0.8602150537634409
clear_global_leg_kfold,0,5,0.6785714285714286,0.7916666666666666,0.7307692307692307
clear_global_leg_kfold,0,6,0.8256410256410256,0.8797814207650273,0.8518518518518517
clear_global_leg_kfold,1,0,0.6556291390728477,0.7226277372262774,0.6875
clear_global_leg_kfold,1,1,0.7225130890052356,0.8070175438596491,0.7624309392265193
clear_global_leg_kfold,1,2,0.7446808510638298,0.7216494845360825,0.7329842931937173
clear_global_leg_kfold,1,3,0.7931034482758621,0.7931034482758621,0.7931034482758621
clear_global_leg_kfold,1,4,0.8414634146341463,0.7931034482758621,0.8165680473372782
clear_global_leg_kfold,1,5,0.8571428571428571,0.5,0.631578947368421
clear_global_leg_kfold,1,6,0.888268156424581,0.8368421052631579,0.8617886178861789
clear_global_leg_kfold,2,0,0.7606382978723404,0.7688172043010753,0.7647058823529411
clear_global_leg_kfold,2,1,0.7093023255813954,0.7672955974842768,0.7371601208459214
clear_global_leg_kfold,2,2,0.8,0.6976744186046512,0.7453416149068322
clear_global_leg_kfold,2,3,0.7843137254901961,0.7547169811320755,0.7692307692307692
clear_global_leg_kfold,2,4,0.8117647058823529,0.8117647058823529,0.8117647058823529
clear_global_leg_kfold,2,5,0.7586206896551724,0.6285714285714286,0.6875
clear_global_leg_kfold,2,6,0.8628571428571429,0.8830409356725146,0.8728323699421966
clear_global_leg_kfold,3,0,0.7210884353741497,0.7114093959731543,0.7162162162162162
clear_global_leg_kfold,3,1,0.7514450867052023,0.8387096774193549,0.7926829268292683
clear_global_leg_kfold,3,2,0.7346938775510204,0.7912087912087912,0.7619047619047619
clear_global_leg_kfold,3,3,0.85,0.7611940298507462,0.8031496062992126
clear_global_leg_kfold,3,4,0.8387096774193549,0.8478260869565217,0.8432432432432434
clear_global_leg_kfold,3,5,0.8095238095238095,0.5666666666666667,0.6666666666666666
clear_global_leg_kfold,3,6,0.8858695652173914,0.8489583333333334,0.8670212765957448
clear_global_leg_kfold,4,0,0.7647058823529411,0.7428571428571429,0.7536231884057971
clear_global_leg_kfold,4,1,0.8333333333333334,0.7621951219512195,0.7961783439490446
clear_global_leg_kfold,4,2,0.7596153846153846,0.797979797979798,0.7783251231527094
clear_global_leg_kfold,4,3,0.8181818181818182,0.7894736842105263,0.8035714285714286
clear_global_leg_kfold,4,4,0.8378378378378378,0.8611111111111112,0.8493150684931507
clear_global_leg_kfold,4,5,0.7931034482758621,0.7419354838709677,0.7666666666666667
clear_global_leg_kfold,4,6,0.8429319371727748,0.9096045197740112,0.8749999999999999
Drive_total,0,0,0.9301470588235294,0.947565543071161,0.9387755102040817
Drive_total,0,1,1.0,0.925,0.961038961038961
Drive_total,0,2,0.9537037037037037,0.8956521739130435,0.9237668161434978
Drive_total,0,3,0.9375,0.9375,0.9375
Drive_total,0,4,0.8695652173913043,0.9090909090909091,0.888888888888889
Drive_total,0,5,0.875,0.8,0.8358208955223881
Drive_total,0,6,0.8820224719101124,0.9075144508670521,0.8945868945868946
Drive_total,1,0,0.8793103448275862,0.897887323943662,0.8885017421602788
Drive_total,1,1,0.8461538461538461,0.8461538461538461,0.8461538461538461
Drive_total,1,2,0.972972972972973,0.8888888888888888,0.9290322580645162
Drive_total,1,3,0.9625,0.8369565217391305,0.8953488372093024
Drive_total,1,4,0.7878787878787878,0.8387096774193549,0.8125
Drive_total,1,5,0.9166666666666666,0.88,0.8979591836734694
Drive_total,1,6,0.8669950738916257,0.9119170984455959,0.8888888888888891
Drive_total,2,0,0.8877551020408163,0.9,0.8938356164383562
Drive_total,2,1,0.9,0.75,0.8181818181818182
Drive_total,2,2,0.9310344827586207,0.8350515463917526,0.8804347826086957
Drive_total,2,3,0.9347826086956522,0.9148936170212766,0.924731182795699
Drive_total,2,4,0.8833333333333333,0.803030303030303,0.8412698412698413
Drive_total,2,5,0.8205128205128205,0.9411764705882353,0.8767123287671232
Drive_total,2,6,0.8315217391304348,0.8947368421052632,0.8619718309859156
Drive_total,3,0,0.9059233449477352,0.9285714285714286,0.9171075837742505
Drive_total,3,1,0.8,0.8695652173913043,0.8333333333333333
Drive_total,3,2,0.9080459770114943,0.8404255319148937,0.87292817679558
Drive_total,3,3,0.8736842105263158,0.9325842696629213,0.9021739130434784
Drive_total,3,4,0.921875,0.8805970149253731,0.9007633587786259
Drive_total,3,5,0.9285714285714286,0.8666666666666667,0.896551724137931
Drive_total,3,6,0.9368421052631579,0.9222797927461139,0.9295039164490861
Drive_total,4,0,0.8780487804878049,0.9163636363636364,0.8967971530249111
Drive_total,4,1,0.9130434782608695,0.75,0.8235294117647057
Drive_total,4,2,0.9111111111111111,0.8723404255319149,0.891304347826087
Drive_total,4,3,0.9504950495049505,0.9320388349514563,0.9411764705882353
Drive_total,4,4,0.8571428571428571,0.9,0.8780487804878048
